Show_ID,Type,Title,Director,Cast,Country,Date_Added,Release_Year,Rating,Duration,Genre (Listed_In),Description
s0001,TV Show,Title 1,Unknown,Actor E,Canada,2020-12-01,2019,PG-13,2 Seasons,Comedy,Inspiring true story.
s0002,movie,Title 2,director 1,"Actor C, Actor D",India,"January 5, 2021",2022,TV-MA,90 min,Action,Inspiring true story.
s0003,Movie,Title 3,Unknown,"Actor A, Actor B",India,2020-12-01,2019,TV-MA,120min,Comedy,Inspiring true story.
s0004,movie,Title 4,director 3,"Actor C, Actor D",UK," March 7, 2018 ",2019,R,120min,"Drama, Comedy",Inspiring true story.
s0005,Movie,Title 5,Unknown,Actor E,USA,"January 5, 2021",2018,TV-MA,2 Seasons,Documentary,Inspiring true story.
s0006,TV Show,Title 6,director 5,"Actor A, Actor B", india ," March 7, 2018 ",2020,PG,1 Season,Action,Inspiring true story.
s0007,Movie,Title 7,Unknown,"Actor C, Actor D",USA,"January 5, 2021",2020,TV-MA,2 Seasons,Drama,A thrilling adventure.
s0008,movie,Title 8,Unknown,"Actor A, Actor B",UK," March 7, 2018 ",2020,R,120min,"Drama, Comedy",Inspiring true story.
s0009,TV show,Title 9,Director 8,,India,2020-12-01,2018,TV-MA,120min,Drama,Family drama with twists.
s0010,movie,Title 10,Director 9,"Actor A, Actor B",India,13/02/2019,2021,TV-MA,1 Season,"Drama, Comedy",A thrilling adventure.
s0011,TV show,Title 11,Unknown,Actor E,Canada,2020-12-01,2020,PG,90 min,Action,Inspiring true story.
s0012,TV show,Title 12,Director 11,Actor E,UK,13/02/2019,,TV-MA,2 Seasons,Comedy,Family drama with twists.
s0013,Movie,Title 13,director 4,Actor E,UK,"January 5, 2021",2020,PG,120min,"Drama, Comedy",A thrilling adventure.
s0014,Movie,Title 14,Director 13,Actor E,UK,"January 5, 2021",2021,PG-13,120min,Documentary,Family drama with twists.
s0015,movie,Title 15,Director 14,"Actor C, Actor D",India," March 7, 2018 ",2020,TV-MA,90 min,Comedy,
s0016,TV Show,Title 16,Unknown,"Actor A, Actor B", india ,2020-12-01,2019,TV-MA,1 Season,Comedy,A thrilling adventure.
s0017,Movie,Title 17,director 0,"Actor A, Actor B",USA,13/02/2019,2020,PG-13,90 min,Drama,A thrilling adventure.
s0018,Movie,Title 18,Unknown,"Actor C, Actor D",Canada,13/02/2019,2020,R,1 Season,"Drama, Comedy",
s0019,Movie,Title 19,director 2,"Actor C, Actor D",USA," March 7, 2018 ",2021,TV-MA,2 Seasons,Action,A thrilling adventure.
s0020,TV show,Title 20,director 3,"Actor C, Actor D",UK,2020-12-01,2020,PG-13,90 min,"Drama, Comedy",Inspiring true story.
s0021,TV show,Title 21,director 4,"Actor A, Actor B", india ," March 7, 2018 ",2019,PG,1 Season,Documentary,Inspiring true story.
s0022,TV show,Title 22,Director 6,Actor E,USA," March 7, 2018 ",2021,TV-MA,1 Season,Documentary,Family drama with twists.
s0023,movie,Title 23,director 6,"Actor C, Actor D", india ,"January 5, 2021",2019,PG-13,120min,Drama,Inspiring true story.
s0024,TV Show,Title 24,Director 8,"Actor C, Actor D",Canada,2020-12-01,2020,PG,2 Seasons,Comedy,A thrilling adventure.
s0025,Movie,Title 25,director 0,"Actor A, Actor B",India,"January 5, 2021",2020,TV-MA,120min,Documentary,Family drama with twists.
s0026,movie,Title 26,Director 10,"Actor C, Actor D",Canada," March 7, 2018 ",2018,TV-MA,90 min,Drama,A thrilling adventure.
s0027,movie,Title 27,director 2,"Actor A, Actor B", india ,2020-12-01,2022,PG,120min,Comedy,A thrilling adventure.
s0028,TV show,Title 28,Director 12,Actor E,UK," March 7, 2018 ",2018,TV-MA,90 min,Action,Family drama with twists.
s0029,TV show,Title 29,Unknown,Actor E,India,13/02/2019,2020,PG-13,120min,Action,Family drama with twists.
s0030,TV Show,Title 30,Director 14,"Actor A, Actor B",Canada,"January 5, 2021",2020,PG,1 Season,Comedy,A thrilling adventure.
s0031,Movie,Title 31,Unknown,Actor E,UK,2020-12-01,2019,TV-MA,1 Season,Action,Family drama with twists.
s0032,movie,Title 32,director 7,Actor E,India,"January 5, 2021",2022,TV-MA,1 Season,Documentary,A thrilling adventure.
s0033,Movie,Title 33,director 0,"Actor C, Actor D", india ,2020-12-01,2019,PG,90 min,"Drama, Comedy",A thrilling adventure.
s0034,TV show,Title 34,Unknown,"Actor A, Actor B",USA,"January 5, 2021",2020,PG,1 Season,Documentary,A thrilling adventure.
s0035,movie,Title 35,director 2,"Actor C, Actor D", india ," March 7, 2018 ",2020,PG,90 min,Action,Inspiring true story.
s0036,TV show,Title 36,Director 5,"Actor A, Actor B", india ,,2018,R,1 Season,"Drama, Comedy",A thrilling adventure.
s0037,TV show,Title 37,director 4,"Actor C, Actor D",India," March 7, 2018 ",2020,PG,120min,Documentary,Inspiring true story.
s0038,movie,Title 38,director 5,Actor E,India,13/02/2019,2022,R,120min,Comedy,A thrilling adventure.
s0039,TV show,Title 39,director 6,Actor E, india ," March 7, 2018 ",2019,PG-13,120min,Comedy,Family drama with twists.
s0040,TV show,Title 40,Unknown,Actor E,India,"January 5, 2021",2021,R,2 Seasons,Comedy,Family drama with twists.
s0041,movie,Title 41,director 0,Actor E,India," March 7, 2018 ",2022,PG,120min,Action,A thrilling adventure.
s0042,movie,Title 42,Director 11,"Actor C, Actor D", india ,13/02/2019,2019,R,2 Seasons,Comedy,Inspiring true story.
s0043,Movie,Title 43,Unknown,"Actor C, Actor D",USA," March 7, 2018 ",2019,PG-13,2 Seasons,"Drama, Comedy",Inspiring true story.
s0044,Movie,Title 44,Unknown,"Actor A, Actor B", india ,2020-12-01,2019,TV-MA,120min,Documentary,Inspiring true story.
s0045,TV show,Title 45,Unknown,"Actor C, Actor D",UK,"January 5, 2021",2020,PG-13,90 min,Action,Family drama with twists.
s0046,movie,Title 46,Director 0,"Actor C, Actor D",USA,"January 5, 2021",2018,R,90 min,"Drama, Comedy",Inspiring true story.
s0047,Movie,Title 47,Unknown,"Actor C, Actor D",UK,13/02/2019,2021,R,90 min,"Drama, Comedy",A thrilling adventure.
s0048,Movie,Title 48,Unknown,"Actor A, Actor B", india ,13/02/2019,2022,PG-13,120min,Drama,A thrilling adventure.
s0049,TV show,Title 49,Unknown,"Actor C, Actor D",USA,"January 5, 2021",2020,TV-MA,2 Seasons,Drama,A thrilling adventure.
s0050,movie,Title 50,Unknown,"Actor C, Actor D",USA,2020-12-01,2020,R,2 Seasons,Action,Family drama with twists.
s0051,TV show,Title 51,director 2,"Actor A, Actor B",Canada,"January 5, 2021",2020,PG-13,120min,Documentary,Family drama with twists.
s0052,TV show,Title 52,Director 6,Actor E,Canada,2020-12-01,2022,R,120min,Comedy,Inspiring true story.
s0053,TV Show,Title 53,Director 7,"Actor C, Actor D",USA,13/02/2019,2021,R,90 min,Drama,Family drama with twists.
s0054,Movie,Title 54,Unknown,"Actor C, Actor D", india ,2020-12-01,2018,PG-13,2 Seasons,Comedy,Family drama with twists.
s0055,Movie,Title 55,Director 9,"Actor A, Actor B",India,"January 5, 2021",2020,PG,90 min,Comedy,Family drama with twists.
