Show_ID,Type,Title,Director,Cast,Country,Date_Added,Release_Year,Rating,Duration,Genre (Listed_In),Description
s0001,Tv Show,Title 1,Unknown,Actor E,Canada,2020-12-01,2019.0,PG-13,2 Seasons,Comedy,Inspiring true story.
s0002,Movie,Title 2,Director 1,"Actor C, Actor D",India,unknown,2022.0,TV-MA,90  min,Action,Inspiring true story.
s0003,Movie,Title 3,Unknown,"Actor A, Actor B",India,2020-12-01,2019.0,TV-MA,120 min,Comedy,Inspiring true story.
s0004,Movie,Title 4,Director 3,"Actor C, Actor D",Uk,unknown,2019.0,R,120 min,"Drama, Comedy",Inspiring true story.
s0005,Movie,Title 5,Unknown,Actor E,Usa,unknown,2018.0,TV-MA,2 Seasons,Documentary,Inspiring true story.
s0006,Tv Show,Title 6,Director 5,"Actor A, Actor B",India,unknown,2020.0,PG,1 Season,Action,Inspiring true story.
s0007,Movie,Title 7,Unknown,"Actor C, Actor D",Usa,unknown,2020.0,TV-MA,2 Seasons,Drama,A thrilling adventure.
s0008,Movie,Title 8,Unknown,"Actor A, Actor B",Uk,unknown,2020.0,R,120 min,"Drama, Comedy",Inspiring true story.
s0009,Tv Show,Title 9,Director 8,"Actor C, Actor D",India,2020-12-01,2018.0,TV-MA,120 min,Drama,Family drama with twists.
s0010,Movie,Title 10,Director 9,"Actor A, Actor B",India,unknown,2021.0,TV-MA,1 Season,"Drama, Comedy",A thrilling adventure.
s0011,Tv Show,Title 11,Unknown,Actor E,Canada,2020-12-01,2020.0,PG,90  min,Action,Inspiring true story.
s0012,Tv Show,Title 12,Director 11,Actor E,Uk,unknown,2019.8590604026845,TV-MA,2 Seasons,Comedy,Family drama with twists.
s0013,Movie,Title 13,Director 4,Actor E,Uk,unknown,2020.0,PG,120 min,"Drama, Comedy",A thrilling adventure.
s0014,Movie,Title 14,Director 13,Actor E,Uk,unknown,2021.0,PG-13,120 min,Documentary,Family drama with twists.
s0015,Movie,Title 15,Director 14,"Actor C, Actor D",India,unknown,2020.0,TV-MA,90  min,Comedy,A thrilling adventure.
s0016,Tv Show,Title 16,Unknown,"Actor A, Actor B",India,2020-12-01,2019.0,TV-MA,1 Season,Comedy,A thrilling adventure.
s0017,Movie,Title 17,Director 0,"Actor A, Actor B",Usa,unknown,2020.0,PG-13,90  min,Drama,A thrilling adventure.
s0018,Movie,Title 18,Unknown,"Actor C, Actor D",Canada,unknown,2020.0,R,1 Season,"Drama, Comedy",A thrilling adventure.
s0019,Movie,Title 19,Director 2,"Actor C, Actor D",Usa,unknown,2021.0,TV-MA,2 Seasons,Action,A thrilling adventure.
s0020,Tv Show,Title 20,Director 3,"Actor C, Actor D",Uk,2020-12-01,2020.0,PG-13,90  min,"Drama, Comedy",Inspiring true story.
s0021,Tv Show,Title 21,Director 4,"Actor A, Actor B",India,unknown,2019.0,PG,1 Season,Documentary,Inspiring true story.
